"Title","Year","Certificate","Duration","Genre","Rating","Metascore","Director","Cast","Votes","Description","Review_Count","Review_Title","Review","Poster"
"Outback","1986.0","R","86.0","Drama, Horror, Thriller","5.0","","Mike Green","Lauren Lofberg, Taylor Wiese, Brendan Donoghue, Kym Cramp","2,225","Down Under for an adventure-filled vacation, a young American couple quickly find themselves stranded in the unforgiving Australian outback.","77","Any place can be deadly, if you are not prepared. Or just behave stupidly.","The movie wants to make us believe this really happened in 2015 to a young American couple, but from everything I can find out it appears to just be a fictional story, based on an urban legend.The young 20-something couple travel to Australia for a ""get away"" trip, on the flight over he presents the ring, he asks her to marry him. But she doesn't appear ready, she says she loves him but hasn't decided yet what she wants to do with her life. That gives a bitter start to their trip but they try to make the best anyway.Their troubles start when with inadequate preparation he relies on his phone GPS to guide them to a destination. However it seems to give them faulty guidance, they basically get lost and from there the poor decision just mount and mount.I watched it on DVD at home and I must admit I skipped quickly through the scenes where he drank his urine.I have watched a lot of movies, averaging roughly 200 to 250 new movies a year for the past 20 years. I can recognize a poor movie when I watch one and this is a poor movie. I find myself wondering ""why was Outback made?"" If I were to arrive at a summary it would be ""preparation is everything when traveling to a strange place."" They did not, they made stupid decisions, they suffered the consequences. It doesn't take 90 minutes to deliver that message.I didn't find anything particularly interesting in the characters or their predicament. I could not recommend this movie to anyone.","https://m.media-amazon.com/images/M/MV5BNmYwOWIxNTYtMGU5NC00NTY3LTg2YTUtYjcyMzg1YTNiOTgxXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UY209_CR6,0,140,209_AL_.jpg"
"Palm Trees and Power Lines","1986.0","R","110.0","Drama","6.5","73.0","Jamie Dack","Lily McInerny, Gretchen Mol, Emily Jackson, Quinn Frankel","2,858","A disconnected teenage girl enters a relationship with a man twice her age. She sees him as the solution to all her problems, but his intentions are not what they seem.","17","It doesn't make you care.","Saw this for the Sundance festival, and it was a huge disappointment coming from the short film version of the same name. While the short film had the better main actress (she seemed more innocent, more believable, had a better singing voice, a more pleasant appearance, etc.,), this full length version had Jonathan Tucker. Having been a fan of his films since he started as a child actor, I knew he would be impressive as the role of the 'creepy dude' in this...and he was. Yet the slow pacing of the film and the drawn out unnecessary scenes centered around the lazy girl with equally lazy friends managed to swallow Tucker up completely. It felt like a waste of talent. I didn't think the director would take this version the direction that she did considering how the short film ended, and that was another disappointment. It was quite unrealistic and too grotesque to take seriously. As a woman it is becoming increasingly hard to watch movies made by women if this is the result. I've seen so many lately with the same qualities...slow pace, unrealistic drama, boring typical dialogue and almost all character development is non existent. They don't know how to make you care. This movie is another great example of that.","https://m.media-amazon.com/images/M/MV5BNTZjOTgwZDktY2IyNy00ZmYyLWJjOWMtODgxYWNmYmQwZjkwXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UY209_CR2,0,140,209_AL_.jpg"
"Gor","1986.0","","94.0","Action, Adventure, Fantasy","3.4","","Fritz Kiersch","Urbano Barberini, Rebecca Ferratti, Jack Palance, Paul L. Smith","2,346","American professor Tarl Cabot is transported via a magical ring to planet Gor, where he must help an oppressed country overthrow its evil king and his barbarian henchmen.","30","A complete pile of s**t","Fritz Kiersch, this cinematic abortion's ""director"", has got to be one of the most completely untalented hacks working behind the lens. (If you've ever seen the original ""Children of the Corn"", you'll know what I mean.) The fight scenes here are SO incredibly lame. I've seen 2nd graders stage better mock combats in school plays. It doesn't help that the script seems to have been written by a moronic middle-schooler. No clichÃÂ© goes unturned here, no mundane sword-&-sorcery trope untouched. I read the first three of John Norman's 'Gor' books when I was in high school and much more interested in the genre, and even then I didn't think that they were anything special. But at least they held my attention for the first few books in the series (probably mainly because of the sexy Boris Vallejo covers and the stories' liberal doses of bondage-themed sex). This movie has none of those elements. The only two good things about it are the vigorous, hearty (and often inappropriately utilized - good job, Fritz, you inept stooge) musical score and Rebecca Ferrati's breasts. (Wait - is that three things?)","https://m.media-amazon.com/images/M/MV5BYmI5OTdmN2QtZjBjMi00YjI2LWE3NTMtNmY0MjZiM2FlMzBmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"The Adventures of Rocky and Bullwinkle","1986.0","PG","92.0","Adventure, Comedy, Family","4.3","36.0","Des McAnuff","Robert De Niro, Rene Russo, Piper Perabo, Jason Alexander","21,211","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.","197","Is It Me, Or Is It Mighty Chilly On This Board?","I loved this movie to pieces each of the 4 times I saw it in the theater! Apparently not everybody was privileged to be born in 1955 and spend a childhood marinating in the Cold War puns and snarky anti-corporate digs of the original TV show. This movie brought it all back; if you had nothing to be brought back to . . . well, it's your loss. Renee Russo is fabulously snakey as Natasha, and tho' Rocket J. Squirrel couldn't improve on the original, that's because he was voiced by the original, the unsinkable June Foray. The only people who need to apologize for this movie are its promoters, who never figured out how to hook its natural audience of 40-somethings.I can't wait for the remake of Fractured Fairy Tales.","https://m.media-amazon.com/images/M/MV5BNWNiYmIwNjItNTYzNC00NzQyLTlkOTEtM2M4NDg4NTQxYmMzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Yip Man 2","1986.0","R","108.0","Action, Biography, Drama","7.5","67.0","Wilson Yip","Donnie Yen, Xiaoming Huang, Sammo Kam-Bo Hung, Lynn Xiong","111,144","Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts.","101","Please do homework before giving your comments","Overall, Ip Man's series has been a very inspirational trip for me. I grew up with Bruce Lee and from the direction of the director, I see where the movie is going to, whether it's historic or not. Before anyone else say anything about the western boxer in this movie, I lived through the end 70's of Asian martial arts world and I must say it has has it's share of ""to the death boxing matches"". Growing up in asia, we have had our share of nonregulated matches where contestant signed papers which declared their fight to the death. So it is no surprise that in this movie such a scene would occur. Not having TV at that time, the thrill of hearing such a match from radio (I remember my first Ali match and it was also on Radio, not TV) I can sympathise for the director's broad representation of history. On the whole, when Ip Man told his disciple Leung, that he wasn't trying to teach him how to fight but to teach him the values of ""martial morals"", reminded me of my martial arts training under my master. Movies reflect life and in this moment of the film, I totally understood what the movie was going to.I can only say, seek the truth and not be blinded by what is presented.","https://m.media-amazon.com/images/M/MV5BZWM2MTcyMDgtZTZkNS00NTg5LWIwNzEtMmY1Y2I1MTZjYTE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Chik loh dak gung","1986.0","R","92.0","Action, Crime, Drama","5.5","","Siu-Tung Ching","Anya, Marit Thoresen, Maggie Q, Daniel Wu","8,096","Madame M, kidnaps forty pre-teen girls to train them as the most deadly assassins. CIA operative follows the case for 6 years with no leads, but when a series of assassinations begin to occur, he suspects that Madame M is back in business.","52","Male fantasy kung-fu. Great fun!","A word of warning: don't see this expecting intellectually challenging cinema. Naked Weapon is any man's wet dream- gorgeous female assassins go to exotic locations and take out high profile baddies (with mandatory sexy dancing before the kill). The action might seem a bit tame for hardcore kung-fu fans (lots of wires and floaty camera moves disguise lack of fighting talent on the actors' parts), but for those of who just want to see some mindless violence, it does the job nicely. Unfortunately the plot has no direction (one set piece after another), and the dialogue is laughably bad. Thankfully, the cheesy lines are so bad they are actually quite entertaining, and blend in nicely with the whole B-movie feel of the film.Far better than I expected- slick and escapist scenarios, high production values, and the action is great fun. I must however warn potential viewers that Daniel Wu is unspeakably bad as the earnest CIA guy on the tail of the killers- all he has to do is fill the audience in on the plot every now and again and get his ass kicked once. How hard can that be? Anyway, he messes that up nicely.To conclude, Naked Weapon is the perfect film if you've been out drinking, come home at about 2.00 in the morning, and want to see a film where brain power is not expected from the audience. Two thumbs up!","https://m.media-amazon.com/images/M/MV5BNzQyNDRiYmEtMzgzMi00YzE3LTlmYjgtZDc0NjI2YzdhYTljXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Deo killeo: Jugeodo doeneun ai","1986.0","","95.0","Action, Crime, Thriller","6.6","53.0","Jae-Hoon Choi","Jang Hyuk, Seo-young Lee, Bang Eun-Jung, Lee Chae-young","4,341","A retired hitman agrees to take care of a teen aged girl, but when she becomes involved with unsavory people, he has to rescue her.","29","The Man from Nowhere meets John Wick","Stoic man with a violent past must get back into his roots in order to save someone? Yawn. We've all seen that before. It's a tired trope really. But the thing is... this movie knows it - mocks it even at some point.Instead of focusing in the plot and emotional depth like The Man from Nowhere, The Killer pour it all out on straight action. The fight choreography is impressive, and the John Wick vibe is noticeable from the stylish neon-lit hallway brawls, melee combats, to gun fus.8/10 One of the best korean martial arts action movies.","https://m.media-amazon.com/images/M/MV5BOTJlYzYxMDQtOWZhYi00NjE0LWFkOTAtNmJhNDNmODFkZjU2XkEyXkFqcGdeQXVyOTM0ODMzNTc@._V1_UY209_CR3,0,140,209_AL_.jpg"
"Carry on Camping","1986.0","","88.0","Comedy","6.6","","Gerald Thomas","Sidney James, Kenneth Williams, Charles Hawtrey, Joan Sims","5,849","Farcical misadventures by guests in an English holiday centre.","38","Well, it must be a European thing...but to me it seemed like ""Porky's"" and ""The Benny Hill Show"" morphed into one wretched film.","I know the Carry On films were very popular--after all, they made 1038312 of them (more of less). However, as an American who did NOT grow up watching them (and no one in the States did), I have a very, very hard time understanding why they were so loved. After all, at least to me, they look like an extended episode of ""The Benny Hill Show"" with actual nudity along with all the smarmy and low-brow humor....very, very low-brow humor.This installment finds two morons trying to get their girlfriends to accompany them to a nudist colony by tricking them. When I said it reminded me of Benny Hill--but this also looked like a 1980s slutty teen comedy but with older and unattractive leads. If you LIKE smutty humor that has absolutely no cleverness or finesse, then this film is for you! In addition to genuinely broad and dim writing, there are some horribly broad performances. The worst was the guy who played Dr. Soaper--most 6 year-olds are more subtle and professional! Not all the actors are THAT bad, but most are at least in the same ballpark as Soaper.I am sorry, but I am the dissenting voice. I hated this film and just saw it as smutty and unfunny. About 2/3 the way through the movie, I just turned it off--life is too short.","https://m.media-amazon.com/images/M/MV5BODEyNDA5OTEtYWI1Ny00NDhmLWEyZGQtYzYxY2FkMDM3ZmI2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Babettes gÃÂ¦stebud","1986.0","","103.0","Drama","7.8","78.0","Gabriel Axel","StÃÂ©phane Audran, Bodil Kjer, Birgitte Federspiel, Jarl Kulle","22,071","During the late 19th century, a strict religious community in a Danish village takes in a French refugee from the Franco-Prussian War as a servant to the late pastor's daughters.","116","My Favorite Film (and I Love movies)","Babette's Feast, for me, is about healing: mending the schism between spirit and body in orthodox Christianity. This puritanical community in remote Denmark is missing an adequate appreciation of all of God's gifts in creation. They have taken the dualism of St. Paul to an extreme, and stress the life of the ""spirit,"" not the life of the ""flesh."" Both elderly sisters, in their youth, were frightened by the lure of love and the temptations of life outside their simple village. They, and their parishioners, cling to the narrow biblical interpretation of their former leader, and the sisters' father. The aging congregation has become testy and quarrelsome, and the sisters don't know what to do. Enter Babette, a French stranger, and someone to whom they can show kindness. They have no way of knowing that she will ultimately return their kindness and give fertile soil to their dry, dusty theology. Babette will give everything she has, and in the process, will teach the sisters and their flock about grace, about sacrifice, about how sensual experience (as in the bread and wine of the Eucharist) can change lives, and about why true art moves us so deeply. When they can forgive each other, and themselves, they can focus on God's love that unfolds before them in a concrete way in the present. As a minister, and an artist, I can't recommend a movie more highly. True art and true grace!!","https://m.media-amazon.com/images/M/MV5BZWVjOWMzYTctOTUxYi00YTVkLWEwNjEtM2Q1NTg0MjhlMzIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Hounddog","1986.0","R","98.0","Drama, Music","6.2","31.0","Deborah Kampmeier","Dakota Fanning, David Morse, Piper Laurie, Granoldo Frazier","6,542","A drama set in the American South, where a precocious, troubled girl finds a safe haven in the music and movement ofElvis Presley.","40","Ultimately very disappointing.","This is a bad film. It is not really Dakota's fault, but to be honest I wasn't really impressed with her this time around. I felt like she was a little too much, a little too melodramatic, and definitely not as real as she is in her other films. The real problems with this film lie in the directing, the script, and the pacing. It's poorly filmed (though beautifully lensed), the script panders to too many stereotypes to even enumerate, and even though it's very short, it crawls along.All the controversy about the rape is unfounded, too, because it actually is only a very small piece of the movie. You see her face twice and her hand once, and you hear her. I'd say it was 45 seconds. Maybe not even that long.Anyways, color me disappointed. Definitely not worth all the hype, and I really wish Dakota could have found a better filmmaker(s) and film(s) during all the time she wasted as this film sat in preproduction. I hope this doesn't affect her career too much.","https://m.media-amazon.com/images/M/MV5BNzUxZjc0MjEtNjgyNS00ZmNmLWExNzgtYTYyMTFmOGU3ZTFlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY209_CR1,0,140,209_AL_.jpg"
"What You Wish For","1986.0","","101.0","Thriller","8.0","","Nicholas Tomnay","Nick Stahl, Tamsin Topolski, Randy Vasquez, Penelope Mitchell","79","A down-on-his-luck chef with gambling problems flees to a Latin American villa, where he assumes the identity of another man.","1","Understands what it is and takes us on a well balanced and wild journey","Short review: The synopsis for 'What You Wish For' was so vague I really had no idea what to expect going in. The little we did get about a chef with a gambling problem assuming someone's identity didn't even scratch the iceberg though. This film was an absolute blast from start to finish.I don't think I'll ever forget the minute the ball drops in this film. It was said so casually and reacted to so calmly that I thought I must've misheard or misunderstood. I didn't though and from there on out we were on a wild ride.The film is dark, but also often hilarious. It finds a great balance in terms of how seriously to take itself, certainly leaning heavily towards the serious side, but just enough tongue-in-cheek moments to realise just how out there of an idea this is. I really enjoyed this one. 9/10.","https://m.media-amazon.com/images/M/MV5BYjFjZmVjMTQtNmJmNS00ZDI2LTkxZGEtOTA5MTgwMjM2ZTFiXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UX140_CR0,0,140,209_AL_.jpg"
"Il segreto di Liberato","1986.0","","90.0","Animation, Music","7.9","","Francesco Lettieri","Giorgio Testi, Lorenzo Ceccotti, Giuseppe Squillaci, Freddy Drabble, Liberato, Nando Paone, Simona Tabasco","69","Add a Plot","0","","","https://m.media-amazon.com/images/M/MV5BMzBmZGIzNzEtODczYy00NjM4LWFiYzktNDY5OWUxYTg2NzMyXkEyXkFqcGdeQXVyMTY4MjUxMzgz._V1_UY209_CR2,0,140,209_AL_.jpg"
"Yat goh ho yan","1986.0","UA","101.0","Action, Adventure, Comedy","6.2","","Sammo Kam-Bo Hung","Jackie Chan, Richard Norton, Miki Lee, Karen McLymont","28,855","A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry, and is now being chased by gangs who are trying to get the video tape.","68","Action galore!!!","This film is certainly not an Academy Award Winner, but it most definitely is just a plain old good action film with tons of senseless fighting.  The fighting is incredible in this film and the stunts are quite impressive, the choreography and the stunts are what make this film good, don't expect a great story or any great acting.The story isn't nearly as bad as I expected it to be, it's actually quite interesting and takes a little bit of step aside from Jackie Chan's typical cop character.  This time he's simply a TV chef that gets mixed up in things against his will.  It sounds pretty stupid, but it's not all that bad.The acting and even more so, the dialogue are two things that I'm not even going to begin to defend.  The acting is pretty bad at times and the dialogue is god-awful!  Sadly, a lot of the bad dialogue could easily have been avoided, I don't know what the writers/director was thinking.Virtually all of the cast members were new faces to me, with of course, the exception of Jackie Chan.  Jackie does a good job with his role, exactly what you would expect from one of his films.  I feel I have to mention Gabrielle Fitzpatrick, what a beautiful actress!!!  And she's actually a pretty good actress, I'll definitely be keeping an eye open for her future work.If you are a fan of Martial Art films, or just like Jackie Chan, then watch this movie.  Just watch this film thinking you are going to have a fun time watching Jackie kick some bad-guy butt!  I hope you enjoy the film, thanks for reading,-Chris","https://m.media-amazon.com/images/M/MV5BY2I4MzA0M2UtMGNlOS00NjgzLThmNDYtMThlODczNTk5ZWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Land","1986.0","PG-13","89.0","Adventure, Drama","6.7","61.0","Robin Wright","Robin Wright, DemiÃÂ¡n Bichir, Sarah Dawn Pledge, Kim Dickens","15,912","Edee, in the aftermath of an unfathomable event, finds herself unable to stay connected to the world and retreats to the wilds of the Rockies. After a local hunter brings her back from the brink of death, she must find a way to live again.","170","The older you are the more you will love this.","Some of the reviews of this movie complain of the slow pace and it is in fact slow. But as we get older we are not in such a rush to get to the end, don't need a breakneck pace to satisfy. We can often see ourselves in this sort of film and have some experience of loss. I very much enjoyed this.","https://m.media-amazon.com/images/M/MV5BMDk4YmZiZjYtMjgxMi00ZWU4LTk5MTQtMTBjOTZiOGUxOTM2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
"A Love Song for Bobby Long","1986.0","R","119.0","Drama","7.1","48.0","Shainee Gabel","Scarlett Johansson, John Travolta, Gabriel Macht, Deborah Kara Unger","27,230","A headstrong young woman returns to New Orleans after the death of her estranged mother.","118","this is a great film","This may be one of john travolta's finest acting roles. The critic reviews were lukewarm, and it seems the movie wasn't released in many theaters for people to see, which is a shame. This is a gem of a film. It takes place in new orleans and follows the lives of three unlikely roommates. Two drunken men living in a dilapidated house of a dead woman, and the woman's estranged only daughter who comes to claim her inheritance-a third of the house. With no place to go, the three stay together under the same roof and a friendship somehow grows, like grass through a sidewalk crack. Well acted, and well directed, there are times the pace of the film seems to slacken but it doesn't take away from the story being told. All in all, one of my favorite films no one saw this year.","https://m.media-amazon.com/images/M/MV5BOGEyZDhlYTUtYTdmMS00NDVhLThiZWItMDIyYjRlZDYzODgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Battle of the Bulge","1986.0","U","167.0","Drama, History, War","6.8","","Ken Annakin","Henry Fonda, Robert Shaw, Robert Ryan, Dana Andrews","17,831","A dramatization of Nazi Germany's final Western Front counterattack of World War II.","157","No excuses, this film is the ""Plan 9 from Outer Space"" of all war films","As the son of a man who fought and almost died in the Battle of the Ardennes (Battle of the Bulge is a stupid name that brings to mind something to do with weight control), I not only think this is the worst action picture I've ever seen, I'm ashamed that Hollywood insulted our veterans with this stinker two decades after the battle in which so many Americans died to turn the tide in Europe. You know it must be pretty insulting to war veterans if Ike himself bothered to become a movie critic and denounce it as demeaning to our soldiers and their memory.I try never to say I hate something, but I hate this movie on every possible level. In the war movie genre, it's a zero. In the historical recreation genre, it is a sub-zero. As an action picture, it is unbelievable. Quite simply the only reason anyone should watch this thing is to catalog a list of things you should avoid doing if you ever decide to make a war movie.By now, you've already read about the gaffs: The anachronisms like a German reading Playboy magazine in the background. The cheap and silly plastic-models-on-a-tabletop war scenes ala Godzilla, The breathtaking inappropriate location of the filming on the Spanish plains instead of using, if not Belgium, then at least some northern European forest country with snow! I mean, my God, would you film a movie about Eskimos in Venezuela? And some reviewers here struggle to make apologies for all this, saying in essence ""So what? It was a fun war movie."" Who cares if it was filmed in a desert instead of the Ardennes forest? Who cares if they made the Germans into cartoonish Nazis and the Allies into G.I. Joe and Sgt. Rock comic book heroes? Who cares if almost nothing is as it was during the battle?Well then, why bother to make a movie with the specific title ""Battle of the Bulge"" at all? Why not just call it, ""Clash of the Panzers""? I know, it was the 1960s and it was just meant to entertain and jerk a few bucks out of people's pockets with gimmicks like Cinerama and marquee brand names like Henry Fonda. I know all that.But it was an insult to the vets who fought and died there. They said it at the time it was made. I can't get beyond that. I have walked the forests and fields around Bastogne where my father endured such an ordeal he would not ever speak of when he was alive. I've walked among the white gravestones of men who died there. I can't bring myself to get to, ""So what? It's just a movie."" Neither, apparently could the many vets who decided to take their families to this picture when it was released, and then had to sit there, embarrassed and speechless as this movie made a mockery of their struggle.I fully expect that I'll get a negative rating as to how many people found my comments ""useful,"" but that's OK. From what I've seen, people tend not to like criticism of a film based on subjective, rather than objective remarks. In this case however, I don't care if I get a single ""useful"" vote. This movie was a travesty in its day, and worse now with the passage of time. It is truly the ""Plan 9 From Outer Space"" of war movies.But ending on a positive note: I'd like to see somebody do a spoof film about the making of this movie and how everybody from the screenwriters, to the director and actors and location scouts to the extras in the background didn't give a flying flip about what they were working on except getting a paycheck. That, I'd watch.","https://m.media-amazon.com/images/M/MV5BMDEzMWI4ZWMtNGFiMy00M2QzLTlhZWUtY2QwZTcyYzMwODAwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg"
"An American in Paris","1986.0","U","114.0","Drama, Musical, Romance","7.2","83.0","Vincente Minnelli","Gene Kelly, Leslie Caron, Oscar Levant, Georges GuÃÂ©tary","36,934","Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.","162","The dream film that altered my life!","In the year of distribution (1951) of An American in Paris, I had just been married.  My husband and I saw the film, and laughed and cried over it.  We enjoyed the spectacular dancing, the vibrant colors of clothes and sets, and the marvelous Gershwin music.  We both swore that someday we would get to Paris.Sadly, it was not to be for us, as my husband, Thanos,  died 24 years later, having been sick for many years.  The following year an old friend invited me to visit him while he was on sabbatical from school.  He had spent many years in Paris, teaching English there, and rented a little house in Neuilly.  I said no, but all my friends said ""GO! It's the opportunity of a lifetime.""  So I did, and fell in love with that glorious old city.I cried because Thanos was not with me, and yet I felt he knew I had come here for both of us, and was glad for me.  I have since visited the City of Light 5 times, and love it so very much. I am now too old and too disabled to do any more world traveling, but that city of romance is something that will always remind me of Thanos. That's why I still love to see the youthful Gene Kelly and Leslie Caron falling in love as WE were once young and in love - and the glorious city of Paris - the most beautiful place in the world!","https://m.media-amazon.com/images/M/MV5BMzFkNGM0YTUtZjY5Ny00NzBkLWE1NTAtYzUxNjUyZmJlODMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg"
"MacArthur","1986.0","","130.0","Biography, Drama, History","6.5","","Joseph Sargent","Gregory Peck, Dan O'Herlihy, Ed Flanders, Ivan Bonar","5,134","Biopic of General Douglas MacArthur covering his war exploits during WW2 and the Korean War.","24","Insensitive and politically incorrect movie","This Film was done in really poor taste.  The script was really bad.   I feel really sad for the late Gregory Peck who took on the title role of this B-movie adaptation of one of history's greatest generals.  The movie was politically incorrect and downright insensitive to the others who fought the Japanese in World War 2.  There was a scene where I almost vomited, it showed Macarthur in a bunker in Corregidor island talking to the troops like a seasoned politician when he comes across a wounded, one legged Filipino soldier.  The soldier bleeding and dying manages to sit up straight upon seeing the general and says : `no papa, no mama, no uncle sam' and Macarthur gives his little pep talk that  Americans `would never abandon' the Philippines.  The scene ends with the soldier being invigorated by Macarthur's words and gives him a smart salute. I mean if there was a more condescending scene portraying the U.S. as the great white savior of the world please tell me because this one takes the cake.  It showed that Filipinos are damsels in distress incapable of honor and have to rely on the great Americans solely for redemption.  It blatantly and purposely overshadowed the contributions of the members of the USAFFE (United States Armed Forces of The Far East), these are Filipino volunteers that were integrated in the US military during world war 2, who died side by side with the Americans fighting the Japanese, who walked side by side with Americans in the death march of Bataan  and defended Corregidor island by launching a guerilla offensive after Macarthur left for Australia with his famous `I shall return' speech.  My late grandfather, a Filipino world war 2 veteran and USAFFE soldier was one of the many who fought the Japanese with honor and love for the home country.  I think this movie does not give honor to them and to the thousands of others that Macarthur relied on for intelligence preparations for his famous return in the Leyte gulf landing.","https://m.media-amazon.com/images/M/MV5BNTRjMjYzNDEtMjNmNy00NzJiLWE0NDgtZDk1N2IzYjgzYTMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Down by Law","1986.0","","107.0","Comedy, Crime, Drama","7.7","75.0","Jim Jarmusch","Tom Waits, John Lurie, Roberto Benigni, Nicoletta Braschi","55,379","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.","111","Subtle grace masquerades as jail-break film","One of the most frequently heard criticisms of Jarmusch's work is that the pace is slow. I would like to make a case for patience. After all, if true beauty and grace were delivered in one massive hit, our poor brains and hearts would not withstand the blow. In Down By Law, Jarmusch invites us to take some time, some real time and devote it to getting deeply involved with his characters. Men in crisis. Misfits, jailbirds, heartbreakingly human. We accompany them on their journey, their escape from their confines. It is a truly epic journey on a small geographical scale. We watch as they begin to mirror one another, as their individual egos become inextricably enmeshed in one another. We watch a friendship form. And how can we begrudge the time Jarmusch takes for this glorious exposition? How can we do anything but marvel at the fine detail in which the scenes are drawn, at the subtle movements of our heroes? Every gesture signifies worlds of meaning and consequence. And Jarmusch does it better, with more skill and with more compassion than anyone. If you are prepared to get involved, if you are brave enough to commit to the journey, you will be rewarded with a kind of epiphany that few films can offer.","https://m.media-amazon.com/images/M/MV5BNmQ2ZGVlZTctZDllYy00YTVlLTk0ZWEtM2Y4ZjhjNGU0MzU3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
