"Title","Year","Certificate","Duration","Genre","Rating","Metascore","Director","Cast","Votes","Description","Review_Count","Review_Title","Review","Poster"
"Selina's Gold","1961.0","","113.0","Drama","5.8","","Mac Alejandre","Angeli Khang, Gold Aceron, Jay Manalo, Azi Acosta","1,405","Selina's father sells her to Tiago who makes her a sex slave. With the help of Domeng, Tiago's blind slave, she plans their way out of this living hell.","0","","","https://m.media-amazon.com/images/M/MV5BN2U4YzBhYTctNzliOS00NDI0LWJiOGItNGM0ZjllOTUzZTI3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"American Insurrection","1961.0","R","115.0","Drama","3.1","","William Sullivan","Nadine Malouf, Nick Westrate, Brandon Perea, Sarah Wharton","1,610","Set in a dystopian America where all people who aren't straight, white, Christian and cis gender are kept track of by the government with bar codes.","61","Up-side-Down world","If there was a negative value available to rate this movie, I would give it less than 0. The premise of this movie is so absurd that it deserves to be thrown immediately in a dustbin of history.","https://m.media-amazon.com/images/M/MV5BZDA3ZDZiNTAtNWU0YS00ODdhLTk5MGItYmZmNTBlODE5YmZhXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Iron Eagle","1961.0","U","117.0","Action, Thriller, War","5.5","41.0","Sidney J. Furie","Louis Gossett Jr., Jason Gedrick, David Suchet, Tim Thomerson","16,019","A young pilot plans a rescue mission when his father, an Air Force Colonel, is shot down over enemy territory and captured.","76","And you have to deal with me, Doug Masters","I'm sorry, but I just can't help it, I love watching Iron Eagle. Now, do not misunderstand me, I am not saying that this is a great movie. No, rather, I would put it that this is an endlessly entertaining movie. For people who cut this movie to pieces for not being realistic are kinda missing the point. Of course Iron Eagle's plot was ridiculous. But I believe its target audience was kids, and I sure remember finding this cool when I was little. Now I just find it amusing as a guilty pleasure, kinda like Road House. This movie is part of the great pantheon of 80's, kids-taking-on-the-stodgy-adult-power-structure movies. You must remember D.A.R.Y.L, Real Genius, E.T., etc. If you ask me, just watching Doug and Knotcher ""Ride the Snake"" in the beginning is worth the cost of the DVD. That whole sequence was so STUPID! But, at the same time, it was hilarious, funny, totally 80's, all that good stuff. So bottom line, Iron Eagle is a great 80's guilty pleasure. The hairstyles, the dancing, the music, the dialogue, its all funny as hell. I have Iron Eagle on DVD and to me it was totally worth $9.99 at Best Buy. If you love laughing at dated, unrealistic action movies, this one is a must-see. Oh yeah, and I think its plot was only marginally stupider than 1986's other fighter pilot action pic, Top Gun.","https://m.media-amazon.com/images/M/MV5BZGY3MWIzZGYtOTliMy00YzQzLTgwNjgtNjlkYTA2Y2Y5YTVkL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Doeorak","1961.0","","102.0","Horror, Mystery, Thriller","6.4","","Kwon Lee","Kong Hyo-jin, Kim Ye-won, Kim Sung-oh, Jo Bok-rae","3,446","A thriller that begins with a murder incident with a trace of a stranger entering the house of Kyung Min who lives alone in the one room.","32","Dumb woman","She was soooooo slow . SLOW AND DUMB . She had so many opportunities to take charge because how slow and idiotic she is, she didn't . She would just sit there and cry . Smh","https://m.media-amazon.com/images/M/MV5BNjJhODlhOGQtN2NjMy00ZjFhLTg1NjAtN2YzZGZjMzQ3NDNjXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_UY209_CR3,0,140,209_AL_.jpg"
"Katie's Mom","1961.0","","113.0","Comedy, Drama, Romance","8.7","","Tyrrell Shaffner","Dina Meyer, Aaron Dominguez, Julia Tolchin, Colin Bates","27","A recent divorcee's holiday celebration with her adult children derails when she falls for her daughter's charming new boyfriend. A comedy influenced by ""The Graduate,"" told from the perspective of a protagonist inspired by Mrs. Robinson.","0","","","https://m.media-amazon.com/images/M/MV5BZWYzNjkxYzMtZmY5MC00Zjk4LThkYzgtZWUwOTk4OTdmZmVmXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_UY209_CR2,0,140,209_AL_.jpg"
"Pat Garrett and Billy the Kid","1961.0","A","122.0","Biography, Drama, Western","7.2","53.0","Sam Peckinpah","James Coburn, Kris Kristofferson, Richard Jaeckel, Katy Jurado","21,117","Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons to bring down his old friend Billy the Kid.","117","Peckinpah's final, haunting eulogy to the West and Westerns","Simply put, Sam Peckinpah's ""Pat Garrett and Billy the Kid"" is one of the last great Westerns ever made. Like most of 'Bloody' Sam's films, ""Pat Garrett"" was molested and cut by the studio, MGM upon its release. The film would be panned by audiences and critics. It's a shame that Peckinpah never lived to see the longer cut of the film finally released to a wider audience on VHS. It would become a cult hit and is now known as one of the best Westerns and one of Peckinpah's best. The film depicts the final days of Billy the Kid (Kris Kristofferson) before he was killed by his friend Pat Garrett (James Coburn), the newly appointed sheriff of the territory. Other than the fine performances of Coburn and Kristofferson, the film also features excellent supporting roles from famous Western regulars and members of Peckinpah's stock of actors. The long list of players include Jason Robards, Bob Dylan (also the film's music composer), Slim Pickens, R.G. Armstrong, L.Q. Jones, Katy Jurado, Paul Fix, Chill Wills, Jack Elam, Harry Dean Stanton, Richard Jaeckel, and Dub Taylor. Most of the characters are killed off in the film, violently evoking both the death of the West and Westerns.Peckinpah's two regular themes are here: the death of the West, and men living past their time and deciding whether or not they should accept change. My favorite scene in the film takes place about halfway through the film. Pat Garrett, isolated and alone, is sitting by his fire near a river bank. He sees a man about his age and his family sailing on a raft down the river. The man is shooting bottles for target practice. Garrett takes a shot at a bottle. The man sees Garrett and shoots back. Garrett then takes cover behind the nearby tree. They both are aiming at each, but just lower their guns are stare at each other. The raft continues to flow down the river. The scene, which was the reason why Peckinpah, Coburn, and almost everyone wanted to take part in the film, has so much meaning to it. 1. It references an earlier scene with Garrett and Sheriff Baker (Slim Pickens). Baker was building a boat so he could drift out of territory because of how awful it has become. Tragicaly, Baker does not get a chance to see this dream. 2. The scene also references the shoot-out between Garrett and Black Harris (L.Q. Jones). Before his death, Harris yells to Garrett ""Us old boys shouldn't be doing this to each other."" The same thing happens between Garrrett and the man on the raft. Other than the performances, the film also features some good musical pieces by Dylan. John Coquillon's cinematography is also very beautiful and haunting at the same time. Peckinpah, as always, was able to get period detail down correctly. Rudy Wurlitzer also did a fine job at the screenplay, despite Peckinpah improving most of it himself. Coburn's performance was possibly his best ever. The idea of Garrett having a lot of inner conflict was good. Garrett knew that he had a job to do, but just could not handle the fact it was his friend that he had to kill. Maybe he was the one who put the gun in the outhouse for Billy to use. It was also great to see the myth and actual facts of the last days of this incident played out.Although this film may have a few faults (some of Dylan's music and a few of his scenes), ""Pat Garrett and Billy the Kid"" is really worth the time to view now that a DVD will be released on January 10th, 2006. The Two-Disc set will feature two versions of the film. The first one is a 115 min. version editied by Peckinpah biographers Nick Redman and Paul Seydor. The second disc will feature the 122 min. version assembled in 1988. According to both men, there was no final cut to ""Pat Garrett."" The version that Peckinpah screeded for the MGM heads was just a rough cut. Either way, the DVD will now a new generation of film lovers to be able to view how costly it is when an artist cannot complete his work. Peckinpah and editiors originally had six months to edit, but the idiots from the studio cut it down to two months. I guess the new 115 minute version of the film is closer to Peckinpah's vision because of notes and interviews with the filmmaker's colleagues. No matter which version you will watch, ""Pat Garrett and Billy the Kid"" is a sad but magnificent Western made by one of the last great storytellers of the Western genre.Billy: Old Pat...Sheriff Pat Garrett. Sold out to the Sana Fe ring. How does it feel? Pat: It feels like...that times have changed. Billy: Times maybe. Not me.","https://m.media-amazon.com/images/M/MV5BNGQ5MDcyOGItOGUwOS00OWRjLTkxYjAtNTZlYWJmNjU0YTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Shortcomings","1961.0","R","92.0","Comedy, Drama, Romance","6.4","67.0","Randall Park","Justin H. Min, Sherry Cola, Ally Maki, Tavi Gevinson","3,405","Follows a trio of young, Bay Area urbanites--Ben Tanaka, Miko Hayashi and Alice Kim--as they navigate a range of interpersonal relationships while traversing the country in search of the ideal connection.","17","Pretty Bad Movie","Rating: 5.0 Overall, a pretty bland movie that tries way too hard to be meta and 'anti-woke' that it does not do a good job at being realistic as the direction of actors is pretty bad and the writing is bland/predictable, with the ending feeling like a Dhar Mann video.Pretty Bad Direction (Moves the story forward in a decent way, but it just feels like there is a lot of empty space in the interpersonal scenes cause it doesn't feel like the characters have chemistry with each other (They just feel like stock videos); uses the Rom-Com template as a foil as many aspects of the movie steal from the genre's tropes (but makes fun of it in a meta manner)), Pretty Bad to Decent Acting (Pretty Bad to Decent from Justin H. Min (Has some moments where he is pretty good but somewhere he clearly is reaching a dramatic limit (Does not hold his own as the leading character as he does not have good chemistry with the rest of the cast (which could be attributed to how he was written))), Decent to Pretty Good from Sherry Cola (The best performance of the movie as plays to her characters strengths well (the comic-relief best friend trope) and gives some range within the confines of what her character is supposed to do (though there is some visible limitation)), Pretty Bad from Ally Maki (The performance just feels a bit one-dimension and the scenes with Min do not have any chemistry (which makes their interpersonal scenes very bland)), Pretty Bad to Decent from Tavi Gevinson (This is more of how the character is written but she just does not feel that believable in this role (mainly from poor direction)), Pretty Bad from Debby Ryan (Does not have any chemistry with Min as her performance just feels very bland and stock), Decent to Pretty Good from Sonoya Mizuno (The most experienced member of the cast as she does show some range of emotion (the only issue being that she does not have that many times to show it and does not work well off of the other characters)), Decent from Jacob Batalon (The comedic relief character that does a decent job at eliciting laughs from the audience, but does not feel very fluid as some parts of the performance felt off), Pretty Bad from the rest of the cast (Just a lot of minor side characters that do not provide anything)), Pretty Bad Story (The main purpose of the story is to mock the Rom-Com genre, but by doing this it does not develop good story elements as it is more focused on the dialogue and jokes rather than developing an interesting story (everything just feels very stock and safe)), Bad Screenplay (The dialogue feels incredibly simplistic; there were some good jokes but it mostly just felt like the movie was trying to be too Meta to the point that some of the conversations are just hard to listen to for how much back-pedaling there is; the symbolism and message is very shallow as the movie is overt in what it is trying to say but does not do a good job at making the meaning believable), Decent Score (Pretty generic for a rom-com), Decent Cinematography, Decent Sound (The scene where they used the concession microphone in the conversation was a very nice touch, but there were some moments where the mixing felt off), Pretty Bad to Decent Editing (Felt incredibly simplistic and choppy (just safe overall so nothing incredibly wrong)), Plot Structure follows a very similar template to that of a Rom-Com (even though the elements are meant to mimic the opposite), Pacing was a bit quicker than I would have liked (maybe adding 10 minutes to help slow the movie down would have been nice), Climax was incredibly cliche and predictable as the movie builds up to being an 'anti-climax'; the ending sequence of the movie is just so safe and bland that it feels like a Dhar Mann ending (especially with the narration and montage sequence), Tone was incredibly bland as the whole movie felt like it was a stock/fake movie that they would use in a real film (which is ironic given there is one of those in this movie)","https://m.media-amazon.com/images/M/MV5BYTJjZjIwMTgtOTNiYy00MzU2LThiZmYtMGFmNTBkZGQwOTc5XkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_UY209_CR0,0,140,209_AL_.jpg"
"Save Me","1961.0","","93.0","Mystery, Thriller","4.1","","Alan Roberts","Harry Hamlin, Lysette Anthony, Michael Ironside, Steve Railsback","1,605","An accountant beleaguered by personal and professional problems gets involved with a femme fatale and her mysterious psychiatrist.","14","Shocking!","That's the feeling you will get when you watch a movie like, of all things, ""Save Me!"" No, this isn't a true story about a daring rescue in the middle of the storm of the century (which probably gave this movie the boot, somehow).""Save Me"" is mostly a kind of weird, very different, movie. Despite the name, shocking and/or surprising things happen throughout (as judged by the video cover seen on this movie's page here). Which is why this movie is placed in a class of its own. It isn't just another drama or another comedy or another chick flick; no, this movie really is different. And that's how it grasped my attention.""Save Me,"" because of these things, gives it a ten in my book. After reading this, you'll want to pick this up for yourself!","https://m.media-amazon.com/images/M/MV5BMTczNTA1Njg5Ml5BMl5BanBnXkFtZTcwMzgwOTc2NA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"La minorenne","1961.0","","84.0","Comedy, Romance","4.8","","Silvio Amadio","Gloria Guida, Rosemary Dexter, Marco Guglielmi, Luciano Roffi","334","Everyone want to be with a young cute girl, but she must find a real man for herself.","2","Pretty unremarkable except for the opening scenes","Gloria Guida plays a Catholic schoolgirl (be prepared to have some impure thoughts). In the opening scene she is walking down the street in a mini-skirt short enough to get any actual Catholic schoolgirl expelled (and quite possibly excommunicated) when she is surrounded and raped by a gang of bikers. This is apparently only a dream or fantasy though because she has several other, even stranger ones afterwards. She goes in for a check-up at school and winds up seducing the doctor. But just as he's about to take her temperature the naughty way, a group of her fellow schoolgirls burst in and hold the poor guy down while she castrates him (talk about a reversal of fortune!) The next fantasy if anything is even stranger--Guida is crucified (topless, of course) by evil priests and nuns and briefly flagellated, until her her schoolgirl posse and another group of nuns (in lingerie for some reason) come in and rescue her. After these interesting scenes in the first fifteen minutes, however, the movie turns into a typical domestic Italian comedy-melodrama of the era. Guida returns home to her family, which consists of a horny brother, a constantly absent father, and a ridiculously young and attractive mother (Rosemary Dexter), who looks she must have given birth to her children at about ten. Naturally, the mother is freely cheating on the father, who is himself sleeping with his secretary. Her brother meanwhile is diddling the family's improbably sexy maid. Guida herself is quite a hit with the local boys, who TWICE sneak INTO her house to watch her undress. But she finally decides to give it up to an older, local sculptor she meets on the beach.I have seen four other movies by director Silvio Amado. The two before this were excellent, top-notch gialli (""Amuck"" and ""Smile Before Death"") while the two after this (""Quella Eta Malizia"" and ""Peccati di Juventud"", both also with Guida) were much more staid (albeit nudity-filled) melodramas. You can actually see about the middle of this movie the point where the director got a lot less interesting. Rumor has it Amado became obsessed in real-life with Guida (certainly understandable) and torpedoed his own career. Whether that's true or not, she was certainly not as good of actress as the ones he worked with earlier like Rosalba Neri, Barbara Bouchet, and Jenny Tamburi. Guida was not a bad actress, but she was kind of a limited one (her acting range could best be described as ""scantily clad to completely nude""). To be fair, Guida still had her best roles ahead of her in stuff like ""Avere Vent'anni"", while Amado's were definitely behind him. This movie is certainly not a total waste of time, especially for Guida fans (i.e. heterosexual males everywhere), but aside from the surreal, bizarre fantasy scenes at he beginning it's pretty unremarkable.","https://m.media-amazon.com/images/M/MV5BYzMyZTZhMTktNTA2NS00NjQ5LTg1MGUtNzk1YTA2ODQzYTU4XkEyXkFqcGdeQXVyMTAxMDQ0ODk@._V1_UY209_CR2,0,140,209_AL_.jpg"
"L'inconnu du lac","1961.0","","100.0","Drama, Romance, Thriller","6.9","82.0","Alain Guiraudie","Pierre Deladonchamps, Christophe Paou, Patrick d'AssumÃÂ§ao, JÃÂ©rÃÂ´me Chappatte","15,933","Summertime. A cruising spot for men, tucked away on the shores of a lake. Franck falls in love with Michel, an attractive, potent and lethally dangerous man. Franck knows this but wants to live out his passion anyway.","49","Bleak thriller puts the cock back in Hitchcock","I enjoyed ""Stranger by the Lake"" very much on several different levels. It features a compelling story line with plenty of suspense heightened by excellent acting and lovely, sensitive cinematography. However, this picture isn't for the faint of heart, so homophobes and prudes will want to give it a wide berth.The plot revolves around a series of inexplicable decisions made by Franck, a handsome, 30ish vegetable seller who regularly visits a gay beach and cruising ground. The beach is inhabited by a largely unvarying selection of men who are completely indifferent to their ""neighbors"" except for one highly specific service that they can, and often do, render one another in the nearby woods. The men exploit and are exploited with a ruthlessness that I found stunning, familiar and sad. This is a ground-breaking film in at least two ways. First, it is the most explicitly and unapologetically erotic art-house movie since Oshima's ""In the Realm of the Senses,"" except that in this case all of the on-screen sex is gay. Second, it is really not a ""gay film"" in the sense that it is actually a story about human callousness and depravity. In other words, the gay characters and gay sex are almost incidental to the true message being conveyed in this movie: that human beings can be truly, and quite casually, inhuman toward each other. This is in contrast to many other ""gay themed"" titles where the ""gayness"" of the story line is the most important element in the film's identity. One could easily make a straight version of ""Stranger by the Lake"" and it would work equally well. Nonetheless, there is most definitely a certain ""je ne sais quoi"" in ""Stranger by the Lake"" that a heterosexual picture would be quite unequipped to deliver upon.If you like your movies strong, suspenseful, lyrical and sleazy you will want to make a point of seeing ""Stranger by the Lake.""","https://m.media-amazon.com/images/M/MV5BMjE5MjcxODYxMl5BMl5BanBnXkFtZTgwNzA2NjYwMTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
